itemid,tag_id
1760,65
19733,14
4651,48
23235,2
727,68
16656,42
22039,97
13722,40
19334,75
13420,47
21887,78
25400,1
34709,101
1847,63
37826,69
39402,99
33579,6
37812,16
36626,1
37452,15
34305,56
13774,95
39436,64
15027,26
2145,46
14349,58
9831,18
5519,97
848,1
11073,47
13730,1
13716,92
25020,1
7450,62
19125,16
4774,24
17482,55
29942,11
3867,98
24022,1
21397,38
27986,84
6116,99
22664,6
22056,57
21392,91
32971,52
40569,20
10917,40
32260,16
4032,65
1356,79
7550,65
9845,57
15454,0
28522,68
13493,0
15069,62
6842,0
17990,65
31399,38
7891,7
11922,47
20789,104
943,65
14684,92
12231,59
30035,98
17206,40
19831,65
23077,65
24126,68
33094,92
18473,78
4543,87
36127,26
37297,63
36482,55
37668,26
37986,13
15220,92
39922,16
5059,47
38265,66
10588,7
13600,40
4087,46
10047,31
10265,92
2054,14
3103,1
26888,14
13164,47
1806,42
5004,40
24583,15
13971,11
690,66
27192,92
23214,4
24556,7
18069,1
26229,66
26603,4
30158,62
22550,45
32474,55
22966,16
33572,93
37805,65
33187,57
33491,103
4128,30
15313,65
5166,102
2191,65
1597,65
37325,92
14621,2
1505,41
4714,97
11370,58
16334,46
20460,74
8731,66
28046,2
813,42
17090,100
18139,99
26930,106
17754,15
31548,6
21000,3
16412,24
4352,92
1862,47
20086,52
3053,97
41191,95
35241,6
33243,28
35575,7
37501,37
32920,41
40163,24
14758,71
6850,8
12238,101
14150,106
14368,13
4159,47
6157,37
13827,21
6821,14
2166,36
23407,70
2203,42
29735,37
25055,24
906,65
13020,65
7471,68
32012,106
5842,28
6121,83
24412,57
26986,55
1955,70
18167,68
23040,65
21388,79
16424,99
10003,21
35696,66
28414,74
35327,44
40300,69
34424,46
36930,99
30841,92
10966,92
25234,92
10581,50
12507,92
36740,94
2061,106
33693,69
25561,93
12786,45
14784,27
2711,16
3004,30
14206,15
8539,46
3707,33
27185,61
5965,4
27494,1
17306,99
16204,1
23871,58
19931,6
18882,1
19571,47
286,22
18868,92
31624,15
25519,92
29761,37
32054,102
21829,54
38153,97
14991,97
27103,21
15677,97
38058,46
10992,52
1560,65
38007,65
8353,0
28664,75
15967,0
38708,100
14932,40
25347,101
10646,67
13621,46
27241,0
16283,65
16405,57
19360,26
18645,0
24602,52
28798,0
6007,92
31460,101
17410,62
8618,100
26750,92
21272,59
18383,65
10047,4
21885,65
14074,22
15879,46
11871,69
12489,75
35510,101
12656,92
26767,92
3552,49
11101,1
2519,52
9511,16
8780,30
2489,1
10778,36
6128,57
23370,64
11813,92
12335,100
7093,6
29313,1
15993,72
17480,4
7434,66
31938,58
22084,7
19787,16
27984,101
16447,1
13354,92
4387,69
19042,73
18687,72
2143,54
25960,92
11193,9
35338,28
36895,28
8253,92
14777,62
15888,74
38223,66
4923,85
8532,21
7548,74
7585,48
9989,7
16953,102
2252,6
6870,58
15067,45
9182,75
18875,48
19193,45
6471,37
7557,58
22514,70
4828,46
31676,96
30975,13
25060,66
23027,42
5900,92
28107,79
30998,92
28502,62
17575,66
20773,28
18847,62
22704,71
33784,102
38065,66
16694,7
36443,62
39627,21
34791,28
38422,6
12087,70
35380,68
25593,61
20298,78
12897,52
1539,69
32066,0
31534,92
37970,65
14881,3
26916,92
13969,6
6232,7
13547,30
5629,30
7334,6
16262,65
3394,50
17341,42
18044,55
17696,7
1737,92
5345,66
21251,31
14197,104
1834,16
18346,65
14256,102
21848,65
34248,66
33570,50
33888,57
35146,48
33519,21
38107,6
12194,106
34538,47
33542,52
32811,58
37044,92
6807,96
7840,101
191,66
1224,71
14055,92
28406,92
1941,44
3171,58
1519,16
14990,40
1874,1
27636,16
5120,1
12925,81
532,14
30977,16
2468,1
5651,100
16410,1
13440,15
20936,1
31699,1
17023,79
20400,92
1565,4
34990,99
10896,62
34712,30
34290,54
24865,31
9189,45
962,65
9544,52
4464,65
15127,55
1688,99
12368,0
6155,52
8481,102
7868,0
11477,70
15710,68
27807,30
14661,65
5840,45
26457,41
14338,100
1953,65
20699,0
21785,61
20177,40
23746,7
26443,74
17538,92
19792,74
35002,6
38694,14
34039,36
36037,62
12943,91
4065,55
2338,40
9653,1
16202,6
13155,1
29485,69
5299,14
1412,16
9994,79
4914,16
27529,16
4199,30
6490,94
3,50
18023,83
6183,81
21486,3
23191,1
22806,97
31773,46
5218,66
31711,57
19929,1
26257,44
1279,1
18258,96
9822,69
20727,101
9163,82
20388,52
35443,15
12628,101
32790,92
38427,92
3201,65
6719,65
14849,42
19402,101
15647,6
2765,2
11347,83
13326,37
19388,48
15209,46
5369,48
4970,45
6253,47
14531,54
7632,66
17731,30
19014,30
23540,42
18629,52
7325,97
17703,92
24931,11
7975,48
23342,46
12391,100
38550,100
2953,106
12670,37
5492,72
9523,22
27376,78
10187,15
31662,66
19520,93
26095,47
2565,29
31224,42
1231,44
21423,59
20692,55
32321,3
6112,85
17854,58
8126,79
20678,6
12105,48
22082,8
23047,27
5434,65
15138,15
24656,42
23273,92
17095,82
24389,44
35318,92
27938,41
34083,46
39161,16
33276,4
39532,1
35260,93
14482,69
8597,55
7613,106
34281,105
11284,11
39797,99
25974,81
13874,48
5585,85
4907,97
3684,58
19576,66
30731,91
23553,92
31395,48
6160,46
7940,21
9602,44
646,79
252,1
31766,1
18951,92
20785,46
5888,7
6824,69
20690,101
38386,102
34561,73
179,7
13640,100
34429,92
26635,100
133,74
31161,100
11340,0
3168,59
12563,7
26088,63
2728,0
783,0
13213,65
26615,14
3378,70
17657,14
19964,14
19671,0
23941,0
17325,30
17643,47
5661,100
20372,101
20864,40
19067,7
39829,92
39017,30
33872,21
12192,95
8467,64
10721,74
36165,92
1593,55
2814,38
11433,45
8386,48
15984,16
14988,97
530,3
10099,92
5134,62
28005,6
17780,98
454,43
23718,92
94,66
12909,101
7425,58
25299,69
7388,48
2438,96
31142,92
20442,3
32256,101
20135,100
3077,22
26348,56
27818,44
8560,92
36701,92
13970,44
36687,25
40611,45
34288,3
34893,101
41159,71
12756,71
2009,65
11556,3
5271,65
30649,46
16930,101
2229,7
7202,46
6780,6
19901,48
5868,3
3942,101
24159,65
25051,58
8836,103
23440,102
28190,13
17965,75
17209,42
19527,26
4487,46
19435,66
17536,77
17114,105
21054,93
30135,101
33761,103
28107,3
30962,81
38321,6
3106,85
15181,37
1772,70
9358,6
6042,66
13538,42
8823,8
7618,96
19293,66
1373,13
6555,62
9992,92
16972,93
988,45
27557,58
29047,13
25169,46
18894,55
26826,52
22781,47
22254,52
7908,65
21205,49
23122,45
21470,79
36850,92
35879,42
36158,103
40453,40
40746,34
37699,37
33770,58
9428,44
14610,99
6346,75
4719,66
10129,7
816,36
2392,6
12402,1
765,31
6996,1
11398,64
15578,92
10960,92
27675,6
31486,28
26378,21
4371,26
5376,69
21005,92
21962,1
30251,46
30597,54
24573,69
23524,94
35564,102
34267,7
37476,55
37158,52
34638,58
40816,0
33907,44
4000,100
11496,92
13931,101
32058,1
2900,68
939,76
10742,0
5490,65
1988,65
16379,0
11853,0
7181,44
25120,65
16056,93
10433,30
2141,40
5091,22
17188,40
23737,37
30321,0
7075,65
8124,92
15364,100
24454,0
22688,46
18764,58
2805,65
22426,37
22389,41
26049,68
23287,79
28577,47
33740,99
36759,28
18613,52
36891,38
8595,34
10874,37
4564,92
26473,21
15515,30
14775,1
15093,6
15130,48
14415,46
12401,16
9192,38
8514,46
28209,4
1043,1
7223,36
5940,48
7583,31
644,92
5195,75
32721,41
27773,93
23461,16
24201,1
14386,14
38077,48
38063,13
39268,28
15585,48
1180,92
11698,46
7729,65
6840,14
24934,52
5346,55
27961,45
13928,30
6010,30
31516,97
14274,54
1445,96
12865,92
3791,6
29488,14
1378,69
19351,6
27933,47
28288,66
25564,58
30757,67
19655,52
20892,6
18539,100
22809,100
1149,26
36258,54
39467,84
35158,6
38170,103
11860,100
1914,85
10705,6
2185,46
25290,55
30328,92
14578,15
3220,2
1515,2
26602,75
11740,42
20470,101
452,48
20669,54
25749,3
7054,65
2768,65
26940,65
92,79
29597,55
31528,92
22059,21
17441,93
23250,75
36685,48
38611,46
35251,47
8551,101
167,103
2626,69
12232,48
7945,70
5947,92
15787,6
37504,98
14144,1
14378,40
1278,1
7523,46
5548,1
3940,102
30423,42
19168,47
25434,1
15028,98
23454,99
31665,7
6379,92
24923,26
28975,74
20748,24
16808,52
18769,52
4125,74
19885,4
21133,58
36128,65
39312,70
33438,14
34420,52
36727,40
13566,92
15935,45
6659,92
15179,52
32120,65
27209,37
